wavelength,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20,B21,B22,B23,B24,B25,B26,B27,B28,B29,B30,B31,B32,B33,B34,B35,B36
538.21,,,,,,,,,,,,0.0308496,,,,,,,,,,,,,,,,,,,,,,,,
539.19,,,,0.0115476,,,,,,,0.0300316,,,,,,,,,,,,,,,,,,,,,,,,,
539.229,,,,,,,,,,,,0.0950109,,,,,,,,,,,,,,,,,,,,,,,,
540,1.89563e-05,3.63044e-05,0.000388562,,,,,0.000589246,0.000572415,0.000200312,,,3.70744e-06,4.9326e-06,2.31758e-06,2.88844e-06,2.8971e-05,7.32408e-06,2.07656e-05,,,,,,,,,,,,,,,,,
540.179,,,,0.0304012,,,,,,,0.0121307,,,,,,,,,,,,,,,,,,,,,,,,,
540.219,,,,,,,,,,,,0.209827,,,,,,,,,,,,,,,,,,,,,,,,
541.159,,,,,,,,,,,0.00527154,,,,,,,,,,,,,,,,,,,,,,,,,
541.169,,,,0.0786975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
541.21,,,,,,,,,,,,0.373967,,,,,,,,,,,,,,,,,,,,,,,,
542.169,,,,0.182201,,,,,,,0.00243814,,,,,,,,,,,,,,,,,,,,,,,,,
542.21,,,,,,,,,,,,0.583985,,,,,,,,,,,,,,,,,,,,,,,,
543.169,,,,0.350661,,,,,,,0.0012785,,,,,,,,,,,,,,,,,,,,,,,,,
543.21,,,,,,,,,,,,0.796494,,,,,,,,,,,,,,,,,,,,,,,,
544.19,,,,0.566436,,,,,,,0.000563201,,,,,,,,,,,,,,,,,,,,,,,,,
544.229,,,,,,,,,,,,0.944913,,,,,,,,,,,,,,,,,,,,,,,,
545.169,,,,,,,,,,,0.000237655,,,,,,,,,,,,,,,,,,,,,,,,,
545.179,,,,0.769634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
545.21,,,,,,,,,,,,0.987884,,,,,,,,,,,,,,,,,,,,,,,,
546.179,,,,0.909875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
546.219,,,,,,,,,,,,0.99998,,,,,,,,,,,,,,,,,,,,,,,,
547.179,,,,0.97297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
547.219,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
548.169,,,,0.992396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
548.21,,,,,,,,,,,,0.984551,,,,,,,,,,,,,,,,,,,,,,,,
549.19,,,,0.998384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
549.229,,,,,,,,,,,,0.93678,,,,,,,,,,,,,,,,,,,,,,,,
550,2.29473e-05,3.6603e-05,0.00040863,,,,,0.000597368,0.000508293,0.000287303,0.00118021,,3.229e-06,5.2556e-06,1.7704e-06,3.24735e-06,3.94092e-05,1.46105e-05,4.43926e-05,,,,,,,,,,,,,,,,,
550.169,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
550.21,,,,,,,,,,,,0.837459,,,,,,,,,,,,,,,,,,,,,,,,
551.19,,,,0.995265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
551.229,,,,,,,,,,,,0.679754,,,,,,,,,,,,,,,,,,,,,,,,
552.179,,,,0.986303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
552.219,,,,,,,,,,,,0.48634,,,,,,,,,,,,,,,,,,,,,,,,
553.169,,,,0.974737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
553.21,,,,,,,,,,,,0.278806,,,,,,,,,,,,,,,,,,,,,,,,
554.19,,,,0.968763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
554.229,,,,,,,,,,,,0.10666,,,,,,,,,,,,,,,,,,,,,,,,
555.169,,,,0.96809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
555.21,,,,,,,,,,,,0.0309991,,,,,,,,,,,,,,,,,,,,,,,,
556.179,,,,0.973408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
556.21,,,,,,,,,,,,0.00901877,,,,,,,,,,,,,,,,,,,,,,,,
557.19,,,,0.983348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
557.229,,,,,,,,,,,,0.00326324,,,,,,,,,,,,,,,,,,,,,,,,
558.19,,,,0.9879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
558.219,,,,,,,,,,,,0.00158635,,,,,,,,,,,,,,,,,,,,,,,,
559.19,,,,0.982297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
559.229,,,,,,,,,,,,0.000927721,,,,,,,,,,,,,,,,,,,,,,,,
560,1.81282e-05,3.37955e-05,0.000671076,,,,,0.000538533,0.000133733,0.000385956,0.000827893,,2.21215e-06,4.39457e-06,1.09739e-06,3.89015e-06,2.03843e-05,1.64461e-05,5.20875e-05,,,,,,,,,,,,,,,,,
