wavelength,B1,B2,B3,B4,B5,B6,B7,B8,B9
2091,,,,,,,0.1130442,,
2092,,,,,,,0.12531833,,
2093,,,,,,,0.14104207,,
2094,,,,,,,0.15772916,,
2095,,,,,,,0.17846316,,
2096,,,,,,,0.19946745,,
2097,,,,,,,0.22195263,,
2098,,,,,,,0.24493155,,
2099,,,,,,,0.27459398,,
2100,,,,,,,0.30581087,,
2101,,,,,,,0.33765897,,
2102,,,,,,,0.36978662,,
2103,,,,,,,0.40613315,,
2104,,,,,,,0.4434717,,
2105,,,,,,,0.48442909,,
2106,,,,,,,0.52639425,,
2107,,,,,,,0.55868477,,
2108,,,,,,,0.59015769,,
2109,,,,,,,0.62845188,,
2110,,,,,,,0.67081827,,
2111,,,,,,,0.70369262,,
2112,,,,,,,0.73118645,,
2113,,,,,,,0.7561571,,
2114,,,,,,,0.7799347,,
2115,,,,,,,0.80423528,,
2116,,,,,,,0.82853574,,
2117,,,,,,,0.84607869,,
2118,,,,,,,0.86023945,,
2119,,,,,,,0.86919415,,
2120,,,,,,,0.88100129,,
2121,,,,,,,0.89042884,,
2122,,,,,,,0.89982301,,
2123,,,,,,,0.90695715,,
2124,,,,,,,0.91398126,,
2125,,,,,,,0.91721064,,
2126,,,,,,,0.92048544,,
2127,,,,,,,0.92542076,,
2128,,,,,,,0.92985046,,
2129,,,,,,,0.93153703,,
2130,,,,,,,0.93249965,,
2131,,,,,,,0.93463236,,
2132,,,,,,,0.93673027,,
2133,,,,,,,0.9378534,,
2134,,,,,,,0.93894368,,
2135,,,,,,,0.94098628,,
2136,,,,,,,0.94262463,,
2137,,,,,,,0.94227535,,
2138,,,,,,,0.9423033,,
2139,,,,,,,0.94379717,,
2140,,,,,,,0.94515347,,
2141,,,,,,,0.94504112,,
2142,,,,,,,0.94498247,,
2143,,,,,,,0.94592953,,
2144,,,,,,,0.94692481,,
2145,,,,,,,0.94919229,,
2146,,,,,,,0.95145994,,
2147,,,,,,,0.95272231,,
2148,,,,,,,0.95394844,,
2149,,,,,,,0.95358199,,
2150,,,,,,,0.95307189,,
2151,,,,,,,0.95554107,,
2152,,,,,,,0.95797873,,
2153,,,,,,,0.95833826,,
2154,,,,,,,0.95876426,,
2155,,,,,,,0.95979828,,
2156,,,,,,,0.96079904,,
2157,,,,,,,0.96058774,,
2158,,,,,,,0.96037638,,
2159,,,,,,,0.96064055,,
2160,,,,,,,0.96220273,,
2161,,,,,,,0.96401131,,
2162,,,,,,,0.96372789,,
2163,,,,,,,0.96397525,,
2164,,,,,,,0.96447343,,
2165,,,,,,,0.96521795,,
2166,,,,,,,0.9660756,,
2167,,,,,,,0.96696723,,
2168,,,,,,,0.96789074,,
2169,,,,,,,0.96744436,,
2170,,,,,,,0.96549106,,
2171,,,,,,,0.96621031,,
2172,,,,,,,0.96805149,,
2173,,,,,,,0.96899831,,
2174,,,,,,,0.96919876,,
2175,,,,,,,0.96860504,,
2176,,,,,,,0.96753544,,
2177,,,,,,,0.96692026,,
2178,,,,,,,0.96685123,,
2179,,,,,,,0.96803194,,
2180,,,,,,,0.96974194,,
2181,,,,,,,0.97015101,,
2182,,,,,,,0.97056007,,
2183,,,,,,,0.97212642,,
2184,,,,,,,0.97419846,,
2185,,,,,,,0.97452831,,
2186,,,,,,,0.97485834,,
2187,,,,,,,0.97576022,,
2188,,,,,,,0.9769215,,
2189,,,,,,,0.9771384,,
2190,,,,,,,0.97730094,,
2191,,,,,,,0.97741669,,
2192,,,,,,,0.97746247,,
2193,,,,,,,0.97645605,,
2194,,,,,,,0.97545022,,
2195,,,,,,,0.97717029,,
2196,,,,,,,0.97678941,,
2197,,,,,,,0.97663635,,
2198,,,,,,,0.97651941,,
2199,,,,,,,0.97859836,,
2200,,,,,,,0.98067731,,
